AP3B1,Protein_UniProt:O00203
BRD4,Protein_UniProt:O60885
BRD2,Protein_UniProt:P25440
CWC27,Protein_UniProt:Q6UX04
ZC3H18,Protein_UniProt:Q86VM9
SLC44A2,Protein_UniProt:Q8IWA5
PMPCB,Protein_UniProt:O75439
YIF1A,Protein_UniProt:O95070
ATP1B1,Protein_UniProt:P05026
ACADM,Protein_UniProt:P11310
ETFA,Protein_UniProt:P13804
STOM,Protein_UniProt:P27105
GGCX,Protein_UniProt:P38435
ATP6V1A,Protein_UniProt:P38606
PSMD8,Protein_UniProt:P48556
REEP5,Protein_UniProt:Q00765
PMPCA,Protein_UniProt:Q10713
ANO6,Protein_UniProt:Q4KMQ2
PITRM1,Protein_UniProt:Q5JRX3
SLC30A9,Protein_UniProt:Q6PML9
FASTKD5,Protein_UniProt:Q7L8L6
SLC30A7,Protein_UniProt:Q8NEW0
TUBGCP3,Protein_UniProt:Q96CW5
COQ8B,Protein_UniProt:Q96D53
SAAL1,Protein_UniProt:Q96ER3
REEP6,Protein_UniProt:Q96HR9
INTS4,Protein_UniProt:Q96HW7
SLC25A21,Protein_UniProt:Q9BQT8
TUBGCP2,Protein_UniProt:Q9BSJ2
TARS2,Protein_UniProt:Q9BW92
RTN4,Protein_UniProt:Q9NQC3
FAM8A1,Protein_UniProt:Q9UBU6
AASS,Protein_UniProt:Q9UDR5
AKAP8L,Protein_UniProt:Q9ULX6
AAR2,Protein_UniProt:Q9Y312
BZW2,Protein_UniProt:Q9Y6E2
RRP9,Protein_UniProt:O43818
PABPC1,Protein_UniProt:P11940
CSNK2A2,Protein_UniProt:P19784
CSNK2B,Protein_UniProt:P67870
G3BP1,Protein_UniProt:Q13283
PABPC4,Protein_UniProt:Q13310
LARP1,Protein_UniProt:Q6PKG0
FAM98A,Protein_UniProt:Q8NCA5
SNIP1,Protein_UniProt:Q8TAD8
UPF1,Protein_UniProt:Q92900
MOV10,Protein_UniProt:Q9HCE1
G3BP2,Protein_UniProt:Q9UN86
DDX21,Protein_UniProt:Q9NR30
RBM28,Protein_UniProt:Q9NW13
RPL36,Protein_UniProt:Q9Y3U8
GOLGA7,Protein_UniProt:Q7Z5G4
ZDHHC5,Protein_UniProt:Q9C0B5
POLA1,Protein_UniProt:P09884
PRIM1,Protein_UniProt:P49642
PRIM2,Protein_UniProt:P49643
POLA2,Protein_UniProt:Q14181
COLGALT1,Protein_UniProt:Q8NBJ5
PKP2,Protein_UniProt:Q99959
AP2A2,Protein_UniProt:O94973
GFER,Protein_UniProt:P55789
ERGIC1,Protein_UniProt:Q969X5
AP2M1,Protein_UniProt:Q96CW1
GRPEL1,Protein_UniProt:Q9HAV7
TBCA,Protein_UniProt:O75347
SBNO1,Protein_UniProt:A3KN83
BCKDK,Protein_UniProt:O14874
AKAP8,Protein_UniProt:O43823
MYCBP2,Protein_UniProt:O75592
SLU7,Protein_UniProt:O95391
RIPK1,Protein_UniProt:Q13546
UBAP2L,Protein_UniProt:Q14157
TYSND1,Protein_UniProt:Q2T9J0
PDZD11,Protein_UniProt:Q5EBL8
PRRC2B,Protein_UniProt:Q5JSZ5
UBAP2,Protein_UniProt:Q5T6F2
ZNF318,Protein_UniProt:Q5VUA4
CRTC3,Protein_UniProt:Q6UUV7
USP54,Protein_UniProt:Q70EL1
ZC3H7A,Protein_UniProt:Q8IWR0
LARP4B,Protein_UniProt:Q92615
RBM41,Protein_UniProt:Q96IZ5
TCF12,Protein_UniProt:Q99081
PPIL3,Protein_UniProt:Q9H2H8
PLEKHA5,Protein_UniProt:Q9HAU0
TBKBP1,Protein_UniProt:A7MCY6
CIT,Protein_UniProt:O14578
HSBP1,Protein_UniProt:O75506
PCNT,Protein_UniProt:O95613
CEP43,Protein_UniProt:O95684
PRKAR2A,Protein_UniProt:P13861
PRKACA,Protein_UniProt:P17612
PRKAR2B,Protein_UniProt:P31323
RDX,Protein_UniProt:P35241
CENPF,Protein_UniProt:P49454
TLE1,Protein_UniProt:Q04724
TLE3,Protein_UniProt:Q04726
TLE5,Protein_UniProt:Q08117
GOLGA3,Protein_UniProt:Q08378
GOLGA2,Protein_UniProt:Q08379
GOLGB1,Protein_UniProt:Q14789
GRIPAP1,Protein_UniProt:Q4V328
CEP350,Protein_UniProt:Q5VT06
PDE4DIP,Protein_UniProt:Q5VU43
CEP135,Protein_UniProt:Q66GS9
CEP68,Protein_UniProt:Q76N32
CNTRL,Protein_UniProt:Q7Z7A1
ERC1,Protein_UniProt:Q8IUD2
GCC2,Protein_UniProt:Q8IWJ2
CLIP4,Protein_UniProt:Q8N3C7
NIN,Protein_UniProt:Q8N4C6
CEP112,Protein_UniProt:Q8N8E3
MIPOL1,Protein_UniProt:Q8TD10
USP13,Protein_UniProt:Q92995
GCC1,Protein_UniProt:Q96CN9
JAKMIP1,Protein_UniProt:Q96N16
CDK5RAP2,Protein_UniProt:Q96SN8
AKAP9,Protein_UniProt:Q99996
GORASP1,Protein_UniProt:Q9BQQ3
FYCO1,Protein_UniProt:Q9BQS8
C1orf50,Protein_UniProt:Q9BV19
CEP250,Protein_UniProt:Q9BV73
TBK1,Protein_UniProt:Q9UHD2
HOOK1,Protein_UniProt:Q9UJC3
NINL,Protein_UniProt:Q9Y2I6
GLA,Protein_UniProt:P06280
IMPDH2,Protein_UniProt:P12268
SIRT5,Protein_UniProt:Q9NXA8
NUTF2,Protein_UniProt:P61970
ARF6,Protein_UniProt:P62330
RNF41,Protein_UniProt:Q9H4P4
SLC27A2,Protein_UniProt:O14975
EIF4E2,Protein_UniProt:O60573
POR,Protein_UniProt:P16435
RAP1GDS1,Protein_UniProt:P52306
WASHC4,Protein_UniProt:Q2M389
FKBP15,Protein_UniProt:Q5T1M5
GIGYF2,Protein_UniProt:Q6Y7W6
IDE,Protein_UniProt:P14735
TIMM10,Protein_UniProt:P62072
ALG11,Protein_UniProt:Q2TAA5
NUP210,Protein_UniProt:Q8TEM1
TIMM29,Protein_UniProt:Q9BSF4
DNAJC11,Protein_UniProt:Q9NVH1
TIMM10B,Protein_UniProt:Q9Y5J6
TIMM9,Protein_UniProt:Q9Y5J7
HDAC2,Protein_UniProt:Q92769
GPX1,Protein_UniProt:P07203
TRMT1,Protein_UniProt:Q9NXH9
ATP5MG,Protein_UniProt:O75964
ATP6AP1,Protein_UniProt:Q15904
SIGMAR1,Protein_UniProt:Q99720
